pid,item,item_label,item_text,cell,direction,audience,arm_title,condition_arm,condition,agree_nocue,agree_leader_cue,likertAgree,likertAgree_recoded,party7,republican,ideo7,age_survey,gender,race,education,PK_sum,cue_type
1166,19,Decrease power of labor unions,Decrease the power of labor unions to help the economy,item19_against,against,Republican,Decrease power of labor unions (against),Control,Control,2.0,,2.0,2.0,Republican,1,Conservative,40.0,Female,White / Caucasian,2-year degree,3,one_sided
1167,6,Amnesty for illegal immigrants,Give working illegal immigrants temporary amnesty,item6_against,against,Democrat,Amnesty for illegal immigrants (against),Amnesty for illegal immigrants (against),Both,,7.0,7.0,7.0,Democrat,0,Liberal,25.0,Male,American Indian or Alaska Native,Some college,1,two_sided
1167,8,More restrictions at U.S. border,Increase restrictions on current U.S. border security policy,item8_in_favor,in favor,Democrat,More restrictions at U.S. border (in favor),More restrictions at U.S. border (in favor),Both,,5.0,5.0,3.0,Democrat,0,Liberal,25.0,Male,American Indian or Alaska Native,Some college,1,two_sided
1167,11,Illegal to burn U.S. flag,Make it illegal to burn the American flag,item11_in_favor,in favor,Democrat,Illegal to burn U.S. flag (in favor),Control,Cue-only,,2.0,2.0,6.0,Democrat,0,Liberal,25.0,Male,American Indian or Alaska Native,Some college,1,two_sided
1167,19,Decrease power of labor unions,Decrease the power of labor unions to help the economy,item19_in_favor,in favor,Democrat,Decrease power of labor unions (in favor),Control,Control,1.0,,1.0,7.0,Democrat,0,Liberal,25.0,Male,American Indian or Alaska Native,Some college,1,two_sided
1167,22,Increase tariffs on Chinese imports,Increase U.S. tariffs on imported products from China,item22_in_favor,in favor,Democrat,Increase tariffs on Chinese imports (in favor),Control,Cue-only,,7.0,7.0,1.0,Democrat,0,Liberal,25.0,Male,American Indian or Alaska Native,Some college,1,two_sided
1168,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_against,against,Democrat,Require women on boards (against),Require women on boards (against),Both,,4.0,4.0,4.0,Strong Democrat,0,Moderate,26.0,Female,Black / African American,High school graduate,1,one_sided
1168,16,Allow affirmative action,Allow the use of affirmative action programs,item16_against,against,Democrat,Allow affirmative action (against),Control,Control,4.0,,4.0,4.0,Strong Democrat,0,Moderate,26.0,Female,Black / African American,High school graduate,1,one_sided
1168,17,Increase capital gains tax,"Increase the government tax rate on profits earned from the sale of stocks, bonds, and real estate",item17_against,against,Democrat,Increase capital gains tax (against),Increase capital gains tax (against),Info-only,4.0,,4.0,4.0,Strong Democrat,0,Moderate,26.0,Female,Black / African American,High school graduate,1,one_sided
1168,22,Increase tariffs on Chinese imports,Increase U.S. tariffs on imported products from China,item22_in_favor,in favor,Democrat,Increase tariffs on Chinese imports (in favor),Control,Control,4.0,,4.0,4.0,Strong Democrat,0,Moderate,26.0,Female,Black / African American,High school graduate,1,one_sided
1168,24,Private pensions for public workers,"Transition pension plans for federal, state, and local government workers into privately managed accounts",item24_in_favor,in favor,Democrat,Private pensions for public workers (in favor),Control,Cue-only,,4.0,4.0,4.0,Strong Democrat,0,Moderate,26.0,Female,Black / African American,High school graduate,1,one_sided
1169,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_in_favor,in favor,Republican,Require women on boards (in favor),Control,Cue-only,,4.0,4.0,4.0,Republican,1,Moderate,73.0,Female,White / Caucasian,Some college,2,one_sided
1169,7,Limit donations to candidates,Limit the amount of money a candidate can receive from a donor,item7_in_favor,in favor,Republican,Limit donations to candidates (in favor),Control,Cue-only,,4.0,4.0,4.0,Republican,1,Moderate,73.0,Female,White / Caucasian,Some college,2,one_sided
1169,8,More restrictions at U.S. border,Increase restrictions on current U.S. border security policy,item8_against,against,Republican,More restrictions at U.S. border (against),Control,Control,7.0,,7.0,7.0,Republican,1,Moderate,73.0,Female,White / Caucasian,Some college,2,one_sided
1169,13,Ban juvenile solitary confinement,Ban the use of solitary confinement for juveniles in prison,item13_in_favor,in favor,Republican,Ban juvenile solitary confinement (in favor),Control,Control,3.0,,3.0,5.0,Republican,1,Moderate,73.0,Female,White / Caucasian,Some college,2,one_sided
1169,23,Decrease estate tax,Decrease the current estate tax rate,item23_against,against,Republican,Decrease estate tax (against),Control,Control,5.0,,5.0,5.0,Republican,1,Moderate,73.0,Female,White / Caucasian,Some college,2,one_sided
1170,1,Allow religious denial of service,Allow businesses to deny service to a customer if the request conflicts with the owner's religious beliefs,item1_against,against,Republican,Allow religious denial of service (against),Allow religious denial of service (against),Info-only,5.0,,5.0,5.0,Republican,1,Lean liberal,24.0,Female,White / Caucasian,4-year degree,2,one_sided
1170,4,Allow death penalty,Allow the use of the death penalty,item4_against,against,Republican,Allow death penalty (against),Control,Control,1.0,,1.0,1.0,Republican,1,Lean liberal,24.0,Female,White / Caucasian,4-year degree,2,one_sided
1170,7,Limit donations to candidates,Limit the amount of money a candidate can receive from a donor,item7_in_favor,in favor,Republican,Limit donations to candidates (in favor),Control,Control,6.0,,6.0,2.0,Republican,1,Lean liberal,24.0,Female,White / Caucasian,4-year degree,2,one_sided
1170,8,More restrictions at U.S. border,Increase restrictions on current U.S. border security policy,item8_against,against,Republican,More restrictions at U.S. border (against),More restrictions at U.S. border (against),Both,,4.0,4.0,4.0,Republican,1,Lean liberal,24.0,Female,White / Caucasian,4-year degree,2,one_sided
1170,10,Allow assisted suicide,Allow terminally ill patients to end their lives via assisted suicide,item10_against,against,Republican,Allow assisted suicide (against),Control,Control,2.0,,2.0,2.0,Republican,1,Lean liberal,24.0,Female,White / Caucasian,4-year degree,2,one_sided
1171,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_against,against,Democrat,Require women on boards (against),Require women on boards (against),Both,,3.0,3.0,3.0,Democrat,0,Lean conservative,72.0,Male,White / Caucasian,Postgraduate,4,two_sided
1171,9,Require work for Medicaid,Make it a requirement that people work in order to receive Medicaid,item9_in_favor,in favor,Democrat,Require work for Medicaid (in favor),Control,Control,2.0,,2.0,6.0,Democrat,0,Lean conservative,72.0,Male,White / Caucasian,Postgraduate,4,two_sided
1171,20,Decrease foreign aid,Decrease U.S. foreign aid spending,item20_in_favor,in favor,Democrat,Decrease foreign aid (in favor),Decrease foreign aid (in favor),Info-only,3.0,,3.0,5.0,Democrat,0,Lean conservative,72.0,Male,White / Caucasian,Postgraduate,4,two_sided
1171,21,Privatization of veterans' healthcare,Increase privatization of veterans' healthcare,item21_in_favor,in favor,Democrat,Privatization of veterans' healthcare (in favor),Privatization of veterans' healthcare (in favor),Both,,7.0,7.0,1.0,Democrat,0,Lean conservative,72.0,Male,White / Caucasian,Postgraduate,4,two_sided
1171,24,Private pensions for public workers,"Transition pension plans for federal, state, and local government workers into privately managed accounts",item24_in_favor,in favor,Democrat,Private pensions for public workers (in favor),Private pensions for public workers (in favor),Info-only,5.0,,5.0,3.0,Democrat,0,Lean conservative,72.0,Male,White / Caucasian,Postgraduate,4,two_sided
1172,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_against,against,Democrat,Subsidized healthcare for immigrants (against),Control,Cue-only,,6.0,6.0,6.0,Democrat,0,Liberal,27.0,Female,Asian / Asian American,4-year degree,3,two_sided
1172,3,Abolish electoral college,Abolish the electoral college,item3_in_favor,in favor,Democrat,Abolish electoral college (in favor),Control,Control,4.0,,4.0,4.0,Democrat,0,Liberal,27.0,Female,Asian / Asian American,4-year degree,3,two_sided
1172,8,More restrictions at U.S. border,Increase restrictions on current U.S. border security policy,item8_in_favor,in favor,Democrat,More restrictions at U.S. border (in favor),Control,Control,4.0,,4.0,4.0,Democrat,0,Liberal,27.0,Female,Asian / Asian American,4-year degree,3,two_sided
1172,10,Allow assisted suicide,Allow terminally ill patients to end their lives via assisted suicide,item10_in_favor,in favor,Democrat,Allow assisted suicide (in favor),Allow assisted suicide (in favor),Info-only,6.0,,6.0,2.0,Democrat,0,Liberal,27.0,Female,Asian / Asian American,4-year degree,3,two_sided
1172,21,Privatization of veterans' healthcare,Increase privatization of veterans' healthcare,item21_in_favor,in favor,Democrat,Privatization of veterans' healthcare (in favor),Privatization of veterans' healthcare (in favor),Info-only,5.0,,5.0,3.0,Democrat,0,Liberal,27.0,Female,Asian / Asian American,4-year degree,3,two_sided
1173,3,Abolish electoral college,Abolish the electoral college,item3_in_favor,in favor,Democrat,Abolish electoral college (in favor),Abolish electoral college (in favor),Both,,5.0,5.0,3.0,Democrat,0,Lean conservative,43.0,Female,White / Caucasian,2-year degree,2,two_sided
1173,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_against,against,Democrat,Require women on boards (against),Require women on boards (against),Info-only,3.0,,3.0,3.0,Democrat,0,Lean conservative,43.0,Female,White / Caucasian,2-year degree,2,two_sided
1173,13,Ban juvenile solitary confinement,Ban the use of solitary confinement for juveniles in prison,item13_against,against,Democrat,Ban juvenile solitary confinement (against),Control,Cue-only,,5.0,5.0,5.0,Democrat,0,Lean conservative,43.0,Female,White / Caucasian,2-year degree,2,two_sided
1173,19,Decrease power of labor unions,Decrease the power of labor unions to help the economy,item19_in_favor,in favor,Democrat,Decrease power of labor unions (in favor),Control,Cue-only,,2.0,2.0,6.0,Democrat,0,Lean conservative,43.0,Female,White / Caucasian,2-year degree,2,two_sided
1173,20,Decrease foreign aid,Decrease U.S. foreign aid spending,item20_in_favor,in favor,Democrat,Decrease foreign aid (in favor),Control,Cue-only,,5.0,5.0,3.0,Democrat,0,Lean conservative,43.0,Female,White / Caucasian,2-year degree,2,two_sided
1174,1,Allow religious denial of service,Allow businesses to deny service to a customer if the request conflicts with the owner's religious beliefs,item1_in_favor,in favor,Democrat,Allow religious denial of service (in favor),Control,Control,6.0,,6.0,2.0,Democrat,0,Strong liberal,19.0,Male,,High school graduate,1,one_sided
1174,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_against,against,Democrat,Require women on boards (against),Require women on boards (against),Both,,2.0,2.0,2.0,Democrat,0,Strong liberal,19.0,Male,,High school graduate,1,one_sided
1174,11,Illegal to burn U.S. flag,Make it illegal to burn the American flag,item11_in_favor,in favor,Democrat,Illegal to burn U.S. flag (in favor),Illegal to burn U.S. flag (in favor),Info-only,6.0,,6.0,2.0,Democrat,0,Strong liberal,19.0,Male,,High school graduate,1,one_sided
1174,16,Allow affirmative action,Allow the use of affirmative action programs,item16_against,against,Democrat,Allow affirmative action (against),Control,Cue-only,,7.0,7.0,7.0,Democrat,0,Strong liberal,19.0,Male,,High school graduate,1,one_sided
1174,18,Military aid to Saudia Arabia,Provide U.S. military aid to Saudi Arabia during its conflict with Yemen,item18_in_favor,in favor,Democrat,Military aid to Saudia Arabia (in favor),Military aid to Saudia Arabia (in favor),Info-only,7.0,,7.0,1.0,Democrat,0,Strong liberal,19.0,Male,,High school graduate,1,one_sided
1175,9,Require work for Medicaid,Make it a requirement that people work in order to receive Medicaid,item9_in_favor,in favor,Democrat,Require work for Medicaid (in favor),Control,Control,6.0,,6.0,2.0,Lean Democrat,0,Strong conservative,65.0,Male,White / Caucasian,4-year degree,2,one_sided
1175,11,Illegal to burn U.S. flag,Make it illegal to burn the American flag,item11_in_favor,in favor,Democrat,Illegal to burn U.S. flag (in favor),Illegal to burn U.S. flag (in favor),Both,,6.0,6.0,2.0,Lean Democrat,0,Strong conservative,65.0,Male,White / Caucasian,4-year degree,2,one_sided
1175,15,Allow enhanced interrogation,"Allow the military to use enhanced interrogation techniques, such as waterboarding, to gain information from suspected terrorists",item15_in_favor,in favor,Democrat,Allow enhanced interrogation (in favor),Control,Cue-only,,5.0,5.0,3.0,Lean Democrat,0,Strong conservative,65.0,Male,White / Caucasian,4-year degree,2,one_sided
1175,19,Decrease power of labor unions,Decrease the power of labor unions to help the economy,item19_in_favor,in favor,Democrat,Decrease power of labor unions (in favor),Decrease power of labor unions (in favor),Both,,6.0,6.0,2.0,Lean Democrat,0,Strong conservative,65.0,Male,White / Caucasian,4-year degree,2,one_sided
1175,23,Decrease estate tax,Decrease the current estate tax rate,item23_in_favor,in favor,Democrat,Decrease estate tax (in favor),Control,Control,6.0,,6.0,2.0,Lean Democrat,0,Strong conservative,65.0,Male,White / Caucasian,4-year degree,2,one_sided
1176,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_against,against,Democrat,Require women on boards (against),Control,Control,5.0,,5.0,5.0,Lean Democrat,0,Liberal,25.0,Female,Other,4-year degree,2,two_sided
1176,6,Amnesty for illegal immigrants,Give working illegal immigrants temporary amnesty,item6_against,against,Democrat,Amnesty for illegal immigrants (against),Control,Control,7.0,,7.0,7.0,Lean Democrat,0,Liberal,25.0,Female,Other,4-year degree,2,two_sided
1176,13,Ban juvenile solitary confinement,Ban the use of solitary confinement for juveniles in prison,item13_against,against,Democrat,Ban juvenile solitary confinement (against),Control,Control,3.0,,3.0,3.0,Lean Democrat,0,Liberal,25.0,Female,Other,4-year degree,2,two_sided
1176,18,Military aid to Saudia Arabia,Provide U.S. military aid to Saudi Arabia during its conflict with Yemen,item18_in_favor,in favor,Democrat,Military aid to Saudia Arabia (in favor),Military aid to Saudia Arabia (in favor),Info-only,2.0,,2.0,6.0,Lean Democrat,0,Liberal,25.0,Female,Other,4-year degree,2,two_sided
1176,24,Private pensions for public workers,"Transition pension plans for federal, state, and local government workers into privately managed accounts",item24_in_favor,in favor,Democrat,Private pensions for public workers (in favor),Control,Cue-only,,2.0,2.0,6.0,Lean Democrat,0,Liberal,25.0,Female,Other,4-year degree,2,two_sided
1177,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_against,against,Democrat,Subsidized healthcare for immigrants (against),Subsidized healthcare for immigrants (against),Info-only,4.0,,4.0,4.0,Democrat,0,Moderate,38.0,Female,White / Caucasian,Less than high school,3,two_sided
1177,9,Require work for Medicaid,Make it a requirement that people work in order to receive Medicaid,item9_in_favor,in favor,Democrat,Require work for Medicaid (in favor),Require work for Medicaid (in favor),Both,,4.0,4.0,4.0,Democrat,0,Moderate,38.0,Female,White / Caucasian,Less than high school,3,two_sided
1177,18,Military aid to Saudia Arabia,Provide U.S. military aid to Saudi Arabia during its conflict with Yemen,item18_in_favor,in favor,Democrat,Military aid to Saudia Arabia (in favor),Control,Cue-only,,4.0,4.0,4.0,Democrat,0,Moderate,38.0,Female,White / Caucasian,Less than high school,3,two_sided
1177,19,Decrease power of labor unions,Decrease the power of labor unions to help the economy,item19_in_favor,in favor,Democrat,Decrease power of labor unions (in favor),Control,Cue-only,,4.0,4.0,4.0,Democrat,0,Moderate,38.0,Female,White / Caucasian,Less than high school,3,two_sided
1177,24,Private pensions for public workers,"Transition pension plans for federal, state, and local government workers into privately managed accounts",item24_in_favor,in favor,Democrat,Private pensions for public workers (in favor),Control,Control,4.0,,4.0,4.0,Democrat,0,Moderate,38.0,Female,White / Caucasian,Less than high school,3,two_sided
1178,3,Abolish electoral college,Abolish the electoral college,item3_in_favor,in favor,Democrat,Abolish electoral college (in favor),Control,Control,3.0,,3.0,5.0,Democrat,0,Moderate,18.0,Female,Black / African American,High school graduate,0,two_sided
1178,4,Allow death penalty,Allow the use of the death penalty,item4_in_favor,in favor,Democrat,Allow death penalty (in favor),Control,Control,4.0,,4.0,4.0,Democrat,0,Moderate,18.0,Female,Black / African American,High school graduate,0,two_sided
1178,8,More restrictions at U.S. border,Increase restrictions on current U.S. border security policy,item8_in_favor,in favor,Democrat,More restrictions at U.S. border (in favor),More restrictions at U.S. border (in favor),Info-only,4.0,,4.0,4.0,Democrat,0,Moderate,18.0,Female,Black / African American,High school graduate,0,two_sided
1178,16,Allow affirmative action,Allow the use of affirmative action programs,item16_against,against,Democrat,Allow affirmative action (against),Allow affirmative action (against),Both,,4.0,4.0,4.0,Democrat,0,Moderate,18.0,Female,Black / African American,High school graduate,0,two_sided
1178,24,Private pensions for public workers,"Transition pension plans for federal, state, and local government workers into privately managed accounts",item24_in_favor,in favor,Democrat,Private pensions for public workers (in favor),Control,Cue-only,,4.0,4.0,4.0,Democrat,0,Moderate,18.0,Female,Black / African American,High school graduate,0,two_sided
1179,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_in_favor,in favor,Republican,Subsidized healthcare for immigrants (in favor),Control,Control,1.0,,1.0,7.0,Republican,1,Conservative,70.0,Male,White / Caucasian,High school graduate,1,two_sided
1179,3,Abolish electoral college,Abolish the electoral college,item3_against,against,Republican,Abolish electoral college (against),Control,Control,5.0,,5.0,5.0,Republican,1,Conservative,70.0,Male,White / Caucasian,High school graduate,1,two_sided
1179,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_in_favor,in favor,Republican,Require women on boards (in favor),Require women on boards (in favor),Info-only,7.0,,7.0,1.0,Republican,1,Conservative,70.0,Male,White / Caucasian,High school graduate,1,two_sided
1179,21,Privatization of veterans' healthcare,Increase privatization of veterans' healthcare,item21_against,against,Republican,Privatization of veterans' healthcare (against),Control,Cue-only,,6.0,6.0,6.0,Republican,1,Conservative,70.0,Male,White / Caucasian,High school graduate,1,two_sided
1179,23,Decrease estate tax,Decrease the current estate tax rate,item23_against,against,Republican,Decrease estate tax (against),Decrease estate tax (against),Info-only,4.0,,4.0,4.0,Republican,1,Conservative,70.0,Male,White / Caucasian,High school graduate,1,two_sided
1180,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_against,against,Democrat,Require women on boards (against),Control,Control,2.0,,2.0,2.0,Democrat,0,Liberal,35.0,Female,White / Caucasian,Postgraduate,1,two_sided
1180,7,Limit donations to candidates,Limit the amount of money a candidate can receive from a donor,item7_against,against,Democrat,Limit donations to candidates (against),Limit donations to candidates (against),Both,,6.0,6.0,6.0,Democrat,0,Liberal,35.0,Female,White / Caucasian,Postgraduate,1,two_sided
1180,11,Illegal to burn U.S. flag,Make it illegal to burn the American flag,item11_in_favor,in favor,Democrat,Illegal to burn U.S. flag (in favor),Control,Cue-only,,1.0,1.0,7.0,Democrat,0,Liberal,35.0,Female,White / Caucasian,Postgraduate,1,two_sided
1180,14,Minimum sentences for drugs,Allow mandatory minimum prison sentences for people charged with drug possession,item14_against,against,Democrat,Minimum sentences for drugs (against),Control,Cue-only,,2.0,2.0,2.0,Democrat,0,Liberal,35.0,Female,White / Caucasian,Postgraduate,1,two_sided
1180,17,Increase capital gains tax,"Increase the government tax rate on profits earned from the sale of stocks, bonds, and real estate",item17_against,against,Democrat,Increase capital gains tax (against),Increase capital gains tax (against),Info-only,2.0,,2.0,2.0,Democrat,0,Liberal,35.0,Female,White / Caucasian,Postgraduate,1,two_sided
1181,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_against,against,Democrat,Subsidized healthcare for immigrants (against),Subsidized healthcare for immigrants (against),Info-only,7.0,,7.0,7.0,Strong Democrat,0,Liberal,19.0,Female,White / Caucasian,2-year degree,1,two_sided
1181,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_against,against,Democrat,Require women on boards (against),Require women on boards (against),Both,,7.0,7.0,7.0,Strong Democrat,0,Liberal,19.0,Female,White / Caucasian,2-year degree,1,two_sided
1181,8,More restrictions at U.S. border,Increase restrictions on current U.S. border security policy,item8_in_favor,in favor,Democrat,More restrictions at U.S. border (in favor),Control,Cue-only,,5.0,5.0,3.0,Strong Democrat,0,Liberal,19.0,Female,White / Caucasian,2-year degree,1,two_sided
1181,15,Allow enhanced interrogation,"Allow the military to use enhanced interrogation techniques, such as waterboarding, to gain information from suspected terrorists",item15_in_favor,in favor,Democrat,Allow enhanced interrogation (in favor),Control,Control,4.0,,4.0,4.0,Strong Democrat,0,Liberal,19.0,Female,White / Caucasian,2-year degree,1,two_sided
1181,17,Increase capital gains tax,"Increase the government tax rate on profits earned from the sale of stocks, bonds, and real estate",item17_against,against,Democrat,Increase capital gains tax (against),Increase capital gains tax (against),Both,,3.0,3.0,3.0,Strong Democrat,0,Liberal,19.0,Female,White / Caucasian,2-year degree,1,two_sided
1182,11,Illegal to burn U.S. flag,Make it illegal to burn the American flag,item11_in_favor,in favor,Democrat,Illegal to burn U.S. flag (in favor),Illegal to burn U.S. flag (in favor),Info-only,4.0,,4.0,4.0,Strong Democrat,0,Strong liberal,24.0,Female,Black / African American,4-year degree,0,one_sided
1182,13,Ban juvenile solitary confinement,Ban the use of solitary confinement for juveniles in prison,item13_against,against,Democrat,Ban juvenile solitary confinement (against),Ban juvenile solitary confinement (against),Both,,6.0,6.0,6.0,Strong Democrat,0,Strong liberal,24.0,Female,Black / African American,4-year degree,0,one_sided
1182,14,Minimum sentences for drugs,Allow mandatory minimum prison sentences for people charged with drug possession,item14_against,against,Democrat,Minimum sentences for drugs (against),Control,Cue-only,,3.0,3.0,3.0,Strong Democrat,0,Strong liberal,24.0,Female,Black / African American,4-year degree,0,one_sided
1182,17,Increase capital gains tax,"Increase the government tax rate on profits earned from the sale of stocks, bonds, and real estate",item17_against,against,Democrat,Increase capital gains tax (against),Control,Cue-only,,6.0,6.0,6.0,Strong Democrat,0,Strong liberal,24.0,Female,Black / African American,4-year degree,0,one_sided
1182,22,Increase tariffs on Chinese imports,Increase U.S. tariffs on imported products from China,item22_in_favor,in favor,Democrat,Increase tariffs on Chinese imports (in favor),Increase tariffs on Chinese imports (in favor),Both,,7.0,7.0,1.0,Strong Democrat,0,Strong liberal,24.0,Female,Black / African American,4-year degree,0,one_sided
1183,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_in_favor,in favor,Republican,Require women on boards (in favor),Require women on boards (in favor),Both,,4.0,4.0,4.0,Republican,1,Lean liberal,64.0,Female,White / Caucasian,Some college,2,one_sided
1183,6,Amnesty for illegal immigrants,Give working illegal immigrants temporary amnesty,item6_in_favor,in favor,Republican,Amnesty for illegal immigrants (in favor),Amnesty for illegal immigrants (in favor),Both,,5.0,5.0,3.0,Republican,1,Lean liberal,64.0,Female,White / Caucasian,Some college,2,one_sided
1183,14,Minimum sentences for drugs,Allow mandatory minimum prison sentences for people charged with drug possession,item14_in_favor,in favor,Republican,Minimum sentences for drugs (in favor),Control,Cue-only,,1.0,1.0,7.0,Republican,1,Lean liberal,64.0,Female,White / Caucasian,Some college,2,one_sided
1183,17,Increase capital gains tax,"Increase the government tax rate on profits earned from the sale of stocks, bonds, and real estate",item17_in_favor,in favor,Republican,Increase capital gains tax (in favor),Increase capital gains tax (in favor),Info-only,3.0,,3.0,5.0,Republican,1,Lean liberal,64.0,Female,White / Caucasian,Some college,2,one_sided
1183,23,Decrease estate tax,Decrease the current estate tax rate,item23_against,against,Republican,Decrease estate tax (against),Control,Control,6.0,,6.0,6.0,Republican,1,Lean liberal,64.0,Female,White / Caucasian,Some college,2,one_sided
1184,1,Allow religious denial of service,Allow businesses to deny service to a customer if the request conflicts with the owner's religious beliefs,item1_in_favor,in favor,Democrat,Allow religious denial of service (in favor),Control,Cue-only,,1.0,1.0,7.0,Strong Democrat,0,Strong liberal,68.0,Female,White / Caucasian,Postgraduate,3,one_sided
1184,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_against,against,Democrat,Subsidized healthcare for immigrants (against),Subsidized healthcare for immigrants (against),Info-only,2.0,,2.0,2.0,Strong Democrat,0,Strong liberal,68.0,Female,White / Caucasian,Postgraduate,3,one_sided
1184,7,Limit donations to candidates,Limit the amount of money a candidate can receive from a donor,item7_against,against,Democrat,Limit donations to candidates (against),Control,Cue-only,,7.0,7.0,7.0,Strong Democrat,0,Strong liberal,68.0,Female,White / Caucasian,Postgraduate,3,one_sided
1184,8,More restrictions at U.S. border,Increase restrictions on current U.S. border security policy,item8_in_favor,in favor,Democrat,More restrictions at U.S. border (in favor),More restrictions at U.S. border (in favor),Info-only,7.0,,7.0,1.0,Strong Democrat,0,Strong liberal,68.0,Female,White / Caucasian,Postgraduate,3,one_sided
1184,9,Require work for Medicaid,Make it a requirement that people work in order to receive Medicaid,item9_in_favor,in favor,Democrat,Require work for Medicaid (in favor),Control,Cue-only,,4.0,4.0,4.0,Strong Democrat,0,Strong liberal,68.0,Female,White / Caucasian,Postgraduate,3,one_sided
1185,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_in_favor,in favor,Republican,Require women on boards (in favor),Control,Control,4.0,,4.0,4.0,Strong Republican,1,Strong liberal,39.0,Male,White / Caucasian,Postgraduate,0,one_sided
1185,7,Limit donations to candidates,Limit the amount of money a candidate can receive from a donor,item7_in_favor,in favor,Republican,Limit donations to candidates (in favor),Limit donations to candidates (in favor),Both,,4.0,4.0,4.0,Strong Republican,1,Strong liberal,39.0,Male,White / Caucasian,Postgraduate,0,one_sided
1185,13,Ban juvenile solitary confinement,Ban the use of solitary confinement for juveniles in prison,item13_in_favor,in favor,Republican,Ban juvenile solitary confinement (in favor),Ban juvenile solitary confinement (in favor),Info-only,4.0,,4.0,4.0,Strong Republican,1,Strong liberal,39.0,Male,White / Caucasian,Postgraduate,0,one_sided
1185,17,Increase capital gains tax,"Increase the government tax rate on profits earned from the sale of stocks, bonds, and real estate",item17_in_favor,in favor,Republican,Increase capital gains tax (in favor),Increase capital gains tax (in favor),Both,,4.0,4.0,4.0,Strong Republican,1,Strong liberal,39.0,Male,White / Caucasian,Postgraduate,0,one_sided
1185,23,Decrease estate tax,Decrease the current estate tax rate,item23_against,against,Republican,Decrease estate tax (against),Decrease estate tax (against),Info-only,4.0,,4.0,4.0,Strong Republican,1,Strong liberal,39.0,Male,White / Caucasian,Postgraduate,0,one_sided
1186,2,Subsidized healthcare for immigrants,Provide illegal immigrants with access to government-subsidized healthcare,item2_against,against,Democrat,Subsidized healthcare for immigrants (against),Subsidized healthcare for immigrants (against),Info-only,1.0,,1.0,1.0,Democrat,0,Lean conservative,65.0,Female,White / Caucasian,High school graduate,0,one_sided
1186,6,Amnesty for illegal immigrants,Give working illegal immigrants temporary amnesty,item6_against,against,Democrat,Amnesty for illegal immigrants (against),Control,Control,4.0,,4.0,4.0,Democrat,0,Lean conservative,65.0,Female,White / Caucasian,High school graduate,0,one_sided
1186,20,Decrease foreign aid,Decrease U.S. foreign aid spending,item20_in_favor,in favor,Democrat,Decrease foreign aid (in favor),Decrease foreign aid (in favor),Both,,4.0,4.0,4.0,Democrat,0,Lean conservative,65.0,Female,White / Caucasian,High school graduate,0,one_sided
1186,21,Privatization of veterans' healthcare,Increase privatization of veterans' healthcare,item21_in_favor,in favor,Democrat,Privatization of veterans' healthcare (in favor),Privatization of veterans' healthcare (in favor),Info-only,2.0,,2.0,6.0,Democrat,0,Lean conservative,65.0,Female,White / Caucasian,High school graduate,0,one_sided
1186,23,Decrease estate tax,Decrease the current estate tax rate,item23_in_favor,in favor,Democrat,Decrease estate tax (in favor),Decrease estate tax (in favor),Both,,4.0,4.0,4.0,Democrat,0,Lean conservative,65.0,Female,White / Caucasian,High school graduate,0,one_sided
1187,10,Allow assisted suicide,Allow terminally ill patients to end their lives via assisted suicide,item10_in_favor,in favor,Democrat,Allow assisted suicide (in favor),Allow assisted suicide (in favor),Both,,4.0,4.0,4.0,Lean Democrat,0,Moderate,67.0,Female,White / Caucasian,Some college,4,two_sided
1187,12,Deny criminals the vote,Deny convicted criminals the right to vote,item12_in_favor,in favor,Democrat,Deny criminals the vote (in favor),Deny criminals the vote (in favor),Both,,1.0,1.0,7.0,Lean Democrat,0,Moderate,67.0,Female,White / Caucasian,Some college,4,two_sided
1187,14,Minimum sentences for drugs,Allow mandatory minimum prison sentences for people charged with drug possession,item14_against,against,Democrat,Minimum sentences for drugs (against),Minimum sentences for drugs (against),Info-only,3.0,,3.0,3.0,Lean Democrat,0,Moderate,67.0,Female,White / Caucasian,Some college,4,two_sided
